# PyMovie format
#
# from file: diffraction_miss_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ None
# R @ None
#
# lightcurve model: diffraction
# event category: total miss
#
# UTC time: 2022-12-25 19:15:36.888592+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 1.15000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.00000 sec
# chord_length_km:  0.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
95,[00:00:3.2680],2884.82,3000.15,-44.34
96,[00:00:3.3024],3052.16,3000.84,16.23
97,[00:00:3.3368],2962.40,3000.26,5.80
98,[00:00:3.3712],3011.92,2999.35,-15.34
99,[00:00:3.4056],2927.85,2999.35,25.62
100,[00:00:3.4400],2947.97,3000.66,-4.08
101,[00:00:3.4744],2899.87,3001.48,-18.70
102,[00:00:3.5088],3031.06,3000.30,-33.13
103,[00:00:3.5432],2936.87,2999.47,23.52
104,[00:00:3.5776],3054.31,2999.97,5.75
105,[00:00:3.6120],3088.36,3000.02,-4.59
106,[00:00:3.6464],3021.57,3000.19,-22.00
107,[00:00:3.6808],2938.10,3001.15,18.94
108,[00:00:3.7152],2922.95,3000.62,20.15
109,[00:00:3.7496],2882.91,3000.25,9.23
110,[00:00:3.7840],3060.97,2999.47,-22.74
111,[00:00:3.8184],2935.88,2999.42,7.36
112,[00:00:3.8528],2868.83,3002.14,0.12
113,[00:00:3.8872],3028.21,2999.60,-1.96
114,[00:00:3.9216],2929.36,3000.64,-31.35
115,[00:00:3.9560],2922.73,3000.92,36.66
116,[00:00:3.9904],3013.37,3000.14,-18.95
117,[00:00:4.0248],2971.73,3001.82,28.97
118,[00:00:4.0592],2960.42,2998.56,0.18
119,[00:00:4.0936],2998.12,3000.91,3.34
120,[00:00:4.1280],3009.75,3000.26,8.38
121,[00:00:4.1624],3024.01,3002.82,-26.97
122,[00:00:4.1968],2944.73,2997.37,7.36
123,[00:00:4.2312],3036.46,3002.96,24.37
124,[00:00:4.2656],2962.86,2999.65,14.00
125,[00:00:4.3000],2954.73,2999.81,-3.31
126,[00:00:4.3344],2958.12,3004.13,-6.56
127,[00:00:4.3688],3087.93,2997.35,-16.33
128,[00:00:4.4032],3057.60,3005.17,30.00
129,[00:00:4.4376],3026.38,2996.13,-10.76
130,[00:00:4.4720],3060.27,3003.87,9.32
131,[00:00:4.5064],2996.25,3003.34,7.76
132,[00:00:4.5408],2994.13,2997.21,13.15
133,[00:00:4.5752],2977.14,3000.65,28.81
134,[00:00:4.6096],3027.02,3012.00,43.09
135,[00:00:4.6440],2901.23,2985.07,-30.75
136,[00:00:4.6784],3038.32,3011.37,18.43
137,[00:00:4.7128],3064.26,3007.71,-13.02
138,[00:00:4.7472],2931.23,2996.43,-31.95
139,[00:00:4.7816],3032.54,2990.63,13.65
140,[00:00:4.8160],3004.89,3013.14,-19.90
141,[00:00:4.8504],3043.61,3027.51,32.45
142,[00:00:4.8848],3018.06,2974.50,16.80
143,[00:00:4.9192],2906.93,2974.10,14.18
144,[00:00:4.9536],2971.26,3042.59,-5.59
145,[00:00:4.9880],3114.95,3033.98,26.01
146,[00:00:5.0224],3045.46,2998.44,4.80
147,[00:00:5.0568],2972.76,2981.58,-7.84
148,[00:00:5.0912],2887.11,2956.20,-20.83
149,[00:00:5.1256],2978.47,2960.76,-17.34
150,[00:00:5.1600],3115.16,3073.72,-10.00
151,[00:00:5.1944],3269.21,3170.85,21.10
152,[00:00:5.2288],3163.79,3133.44,7.02
153,[00:00:5.2632],3019.80,2961.30,-43.01
154,[00:00:5.2976],2800.08,2768.05,2.94
155,[00:00:5.3320],2699.00,2709.12,-37.50
156,[00:00:5.3664],2787.06,2802.10,1.46
157,[00:00:5.4008],3015.07,2956.10,13.71
158,[00:00:5.4352],3189.20,3117.90,-15.44
159,[00:00:5.4696],3223.46,3284.41,-21.33
160,[00:00:5.5040],3491.84,3444.57,2.26
161,[00:00:5.5384],3450.99,3572.17,-11.12
162,[00:00:5.5728],3691.32,3651.89,1.65
163,[00:00:5.6072],3624.86,3688.55,-10.04
164,[00:00:5.6416],3704.79,3698.12,-5.61
165,[00:00:5.6760],3760.15,3696.73,-1.58
166,[00:00:5.7104],3646.11,3695.03,11.59
167,[00:00:5.7448],3745.97,3696.68,-7.05
