# PyMovie format
#
# from file: diffraction_with_central_spot_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:5.5247]
# R @ [00:00:5.9247]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:25.789541+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.40000 sec
# chord_length_km:  2.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
94,[00:00:3.2336],2889.27,3000.53,18.38
95,[00:00:3.2680],3014.32,3000.70,-16.64
96,[00:00:3.3024],2903.86,2999.79,24.57
97,[00:00:3.3368],3008.30,2999.20,8.64
98,[00:00:3.3712],2987.02,3000.00,-15.30
99,[00:00:3.4056],3019.37,3001.80,-9.01
100,[00:00:3.4400],3039.90,3001.28,-8.42
101,[00:00:3.4744],3005.56,2998.99,17.98
102,[00:00:3.5088],2985.47,2999.22,-19.30
103,[00:00:3.5432],2981.29,3001.19,15.55
104,[00:00:3.5776],3031.88,3001.03,20.07
105,[00:00:3.6120],3000.17,2999.12,35.66
106,[00:00:3.6464],3019.17,2999.41,-16.64
107,[00:00:3.6808],3058.51,3000.37,-19.54
108,[00:00:3.7152],3011.26,3000.48,-0.30
109,[00:00:3.7496],2945.80,3001.56,19.80
110,[00:00:3.7840],2988.06,3000.05,-13.80
111,[00:00:3.8184],2919.66,3000.28,14.61
112,[00:00:3.8528],3002.60,3001.48,-4.77
113,[00:00:3.8872],2975.01,2997.26,0.94
114,[00:00:3.9216],2967.08,3001.89,-21.63
115,[00:00:3.9560],2880.75,3001.10,23.55
116,[00:00:3.9904],2917.37,3000.02,13.14
117,[00:00:4.0248],2953.79,3001.10,31.65
118,[00:00:4.0592],3043.75,3001.67,-22.94
119,[00:00:4.0936],2999.09,2999.35,-7.44
120,[00:00:4.1280],3035.72,2999.70,-24.40
121,[00:00:4.1624],3049.24,3002.18,-8.44
122,[00:00:4.1968],3052.15,3001.03,30.62
123,[00:00:4.2312],3022.91,2998.64,-11.10
124,[00:00:4.2656],3012.88,3005.58,17.98
125,[00:00:4.3000],3003.26,2995.06,3.71
126,[00:00:4.3344],2976.23,3006.78,9.59
127,[00:00:4.3688],2953.26,2996.09,-6.44
128,[00:00:4.4032],3040.51,3004.45,-7.25
129,[00:00:4.4376],3074.35,3001.97,24.98
130,[00:00:4.4720],3040.70,2995.97,-2.23
131,[00:00:4.5064],3009.66,3008.99,60.75
132,[00:00:4.5408],2933.56,2999.63,-25.10
133,[00:00:4.5752],3016.67,2991.47,21.26
134,[00:00:4.6096],3016.81,3019.53,0.65
135,[00:00:4.6440],3074.31,2995.00,-2.32
136,[00:00:4.6784],2942.93,2992.87,-12.22
137,[00:00:4.7128],2986.95,3008.15,17.06
138,[00:00:4.7472],3036.98,3028.79,-22.72
139,[00:00:4.7816],2960.39,2966.40,23.09
140,[00:00:4.8160],2913.34,2994.58,-25.35
141,[00:00:4.8504],3011.63,3047.28,-29.17
142,[00:00:4.8848],3033.80,3013.99,-2.08
143,[00:00:4.9192],2997.98,2981.94,-2.33
144,[00:00:4.9536],3049.31,2959.98,-21.77
145,[00:00:4.9880],2941.74,2976.30,10.44
146,[00:00:5.0224],3120.62,3131.47,18.04
147,[00:00:5.0568],2990.85,3151.25,-15.15
148,[00:00:5.0912],2904.24,2930.16,0.44
149,[00:00:5.1256],2709.58,2723.05,7.43
150,[00:00:5.1600],2769.56,2820.99,-3.32
151,[00:00:5.1944],3123.27,3092.31,-26.76
152,[00:00:5.2288],3476.09,3424.77,27.04
153,[00:00:5.2632],3651.39,3668.67,-10.23
154,[00:00:5.2976],3423.75,3592.29,12.41
155,[00:00:5.3320],3249.39,3227.43,8.11
156,[00:00:5.3664],2603.48,2662.56,-5.04
157,[00:00:5.4008],2143.20,2054.21,9.80
158,[00:00:5.4352],1694.72,1684.93,12.27
159,[00:00:5.4696],1661.96,1545.95,-5.39
160,[00:00:5.5040],1321.04,1287.41,0.42
161,[00:00:5.5384],787.26,790.37,0.50
162,[00:00:5.5728],435.28,439.69,1.52
163,[00:00:5.6072],685.67,696.00,9.99
164,[00:00:5.6416],1552.78,1566.15,-13.10
165,[00:00:5.6760],2516.62,2535.64,34.76
166,[00:00:5.7104],3083.34,2960.87,-2.21
167,[00:00:5.7448],2568.80,2550.27,-6.18
168,[00:00:5.7792],1512.19,1584.68,1.85
169,[00:00:5.8136],660.68,707.02,-2.75
170,[00:00:5.8480],428.78,438.21,-18.48
171,[00:00:5.8824],766.63,781.23,28.61
172,[00:00:5.9168],1220.13,1279.78,27.12
173,[00:00:5.9512],1457.49,1543.61,-16.67
174,[00:00:5.9856],1703.04,1680.96,-8.14
175,[00:00:6.0200],2055.67,2044.67,-8.88
176,[00:00:6.0544],2735.89,2651.21,-4.35
177,[00:00:6.0888],3170.52,3218.77,23.35
178,[00:00:6.1232],3694.77,3587.67,23.81
179,[00:00:6.1576],3605.57,3670.05,15.90
180,[00:00:6.1920],3454.03,3430.85,-14.42
181,[00:00:6.2264],2954.45,3097.78,6.87
182,[00:00:6.2608],2845.70,2824.99,14.58
183,[00:00:6.2952],2766.38,2721.98,34.50
184,[00:00:6.3296],2919.30,2925.05,-7.52
185,[00:00:6.3640],3131.07,3148.91,21.53
186,[00:00:6.3984],3131.46,3133.89,-3.63
187,[00:00:6.4328],2975.95,2978.07,7.06
188,[00:00:6.4672],2973.73,2959.27,-24.24
