# PyMovie format
#
# from file: disk_on_disk_annular_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:3.4500]
# R @ [00:00:5.3500]
#
# lightcurve model: disk-on-disk
# event category: graze
#
# UTC time: 2022-12-25 19:15:13.444516+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  10.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  3.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 400.97865 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 1.90000 sec
# chord_length_km:  9.50000 km
#
# star_diameter_mas: 6.43429 mas
#
# fresnel_length: 0.34857 km
#
# ===== Alternate units =====
#
# star_diameter_km:  14.00000 km
# star_radius_km:    7.00000 km
# star_rho:          40.16 fresnel lengths
#
# asteroid_diameter_mas: 4.59592 mas
# asteroid_rho:          14.34 fresnel lengths
#
# asteroid_distance_arcsec:  2.92940 arcsec
#
# asteroid_speed_sky_motion: 2.29796 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
94,[00:00:3.7600],1850.94,1857.64,6.31
95,[00:00:3.8000],1866.90,1829.77,4.23
96,[00:00:3.8400],1790.46,1803.04,1.59
97,[00:00:3.8800],1806.98,1777.70,-35.66
98,[00:00:3.9200],1757.09,1753.99,-31.16
99,[00:00:3.9600],1718.14,1732.26,13.30
100,[00:00:4.0000],1607.78,1712.91,6.52
101,[00:00:4.0400],1653.41,1696.43,-29.00
102,[00:00:4.0800],1713.49,1683.50,-6.57
103,[00:00:4.1200],1614.91,1675.42,13.16
104,[00:00:4.1600],1633.76,1673.97,-3.79
105,[00:00:4.2000],1691.06,1673.97,4.18
106,[00:00:4.2400],1675.11,1673.97,-46.38
107,[00:00:4.2800],1702.72,1673.97,10.95
108,[00:00:4.3200],1610.02,1673.97,18.04
109,[00:00:4.3600],1722.81,1673.97,-31.73
110,[00:00:4.4000],1704.18,1673.97,-8.83
111,[00:00:4.4400],1621.09,1673.97,-7.06
112,[00:00:4.4800],1678.19,1673.97,-10.85
113,[00:00:4.5200],1732.80,1673.97,-14.44
114,[00:00:4.5600],1685.95,1673.97,4.60
115,[00:00:4.6000],1691.63,1673.97,-0.83
116,[00:00:4.6400],1620.33,1674.86,-8.81
117,[00:00:4.6800],1672.35,1682.03,-25.51
118,[00:00:4.7200],1711.55,1694.38,-6.22
119,[00:00:4.7600],1762.39,1710.41,-10.75
120,[00:00:4.8000],1772.62,1729.40,-3.41
121,[00:00:4.8400],1751.51,1750.82,-27.22
122,[00:00:4.8800],1808.96,1774.26,1.09
123,[00:00:4.9200],1857.36,1799.40,-4.28
124,[00:00:4.9600],1830.68,1825.95,22.65
125,[00:00:5.0000],1815.35,1853.67,30.87
126,[00:00:5.0400],1885.91,1882.37,-9.87
127,[00:00:5.0800],1885.66,1911.87,3.64
128,[00:00:5.1200],1945.32,1942.05,-20.48
129,[00:00:5.1600],2013.10,1972.76,-32.83
130,[00:00:5.2000],2126.37,2003.92,7.32
131,[00:00:5.2400],1947.87,2035.42,-27.38
132,[00:00:5.2800],2065.27,2067.19,2.01
