# PyMovie format
#
# from file: edge_on_disk_standard_penumbral_D55_R35_shotnoise_2.0_readnoise_20.0.csv
#
# shot noise level: 2
# read noise sigma: 20
# 
# D @ [00:00:3.2208]
# R @ [00:00:23.2208]
#
# lightcurve model: edge-on-disk
# event category: normal
#
# UTC time: 2022-12-25 19:15:10.291443+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  150.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  5.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 500.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 66.82978 ADU
#
# D_limb_angle_degrees: 55.0 degrees
# R_limb_angle_degrees: 35.0 degrees
#
# chord_length_sec: 20.00000 sec
# chord_length_km:  100.00000 km
#
# star_diameter_mas: 2.75755 mas
#
# fresnel_length: 0.45000 km
#
# ===== Alternate units =====
#
# star_diameter_km:  10.00000 km
# star_radius_km:    5.00000 km
# star_rho:          22.22 fresnel lengths
#
# asteroid_diameter_mas: 41.36330 mas
# asteroid_rho:          166.67 fresnel lengths
#
# asteroid_distance_arcsec:  1.75764 arcsec
#
# asteroid_speed_sky_motion: 1.37878 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
102,[00:00:4.0800],133.28,104.33,18.48
103,[00:00:4.1200],117.26,98.19,11.18
104,[00:00:4.1600],114.08,92.47,-1.74
105,[00:00:4.2000],71.92,87.06,2.04
106,[00:00:4.2400],79.08,82.15,-19.05
107,[00:00:4.2800],83.09,77.75,-22.27
108,[00:00:4.3200],60.77,73.85,25.91
109,[00:00:4.3600],96.75,70.32,-10.96
110,[00:00:4.4000],34.14,67.88,8.73
111,[00:00:4.4400],67.22,66.83,1.89
112,[00:00:4.4800],83.23,66.83,7.47
113,[00:00:4.5200],76.67,66.83,-0.54
114,[00:00:4.5600],64.79,66.83,-2.31
115,[00:00:4.6000],76.12,66.83,28.06
116,[00:00:4.6400],80.71,66.83,33.71
117,[00:00:4.6800],51.71,66.83,-11.29
118,[00:00:4.7200],104.85,66.83,-10.01
119,[00:00:4.7600],45.50,66.83,0.17
120,[00:00:4.8000],42.47,66.83,23.38
121,[00:00:4.8400],41.22,66.83,-21.37
122,[00:00:4.8800],101.89,66.83,-20.64
123,[00:00:4.9200],12.25,66.83,2.50
124,[00:00:4.9600],67.51,66.83,9.73
125,[00:00:5.0000],52.54,66.83,27.36
126,[00:00:5.0400],33.40,66.83,-22.37
127,[00:00:5.0800],87.95,66.83,17.59
128,[00:00:5.1200],30.18,66.83,-11.35
129,[00:00:5.1600],78.28,66.83,4.46
130,[00:00:5.2000],103.09,66.83,0.60
131,[00:00:5.2400],60.91,66.83,20.42
132,[00:00:5.2800],57.03,66.83,-23.98
133,[00:00:5.3200],70.98,66.83,-28.51
134,[00:00:5.3600],81.52,66.83,1.32
135,[00:00:5.4000],99.15,66.83,-2.64
136,[00:00:5.4400],90.45,66.83,19.36
137,[00:00:5.4800],53.70,66.83,5.21
138,[00:00:5.5200],69.65,66.83,15.79
139,[00:00:5.5600],61.54,66.83,-20.51
140,[00:00:5.6000],79.12,66.83,-6.86
141,[00:00:5.6400],104.59,66.83,-14.30
142,[00:00:5.6800],71.61,66.83,16.72
143,[00:00:5.7200],74.84,66.83,-28.41
144,[00:00:5.7600],73.40,66.83,17.80
145,[00:00:5.8000],73.50,66.83,-3.85
146,[00:00:5.8400],103.37,66.83,-29.41
147,[00:00:5.8800],99.12,66.83,10.95
148,[00:00:5.9200],46.80,66.83,-24.90
149,[00:00:5.9600],112.66,66.83,6.05
150,[00:00:6.0000],108.81,66.83,-14.44
151,[00:00:6.0400],60.73,66.83,-12.02
152,[00:00:6.0800],-10.21,66.83,8.73
153,[00:00:6.1200],38.75,66.83,11.79
154,[00:00:6.1600],60.50,66.83,-41.06
155,[00:00:6.2000],84.72,66.83,-45.56
156,[00:00:6.2400],123.52,66.83,-8.23
157,[00:00:6.2800],53.30,66.83,-11.24
158,[00:00:6.3200],78.47,66.83,13.13
159,[00:00:6.3600],93.76,66.83,-23.57
160,[00:00:6.4000],60.44,66.83,1.00
161,[00:00:6.4400],40.90,66.83,27.06
162,[00:00:6.4800],36.69,66.83,-13.84
163,[00:00:6.5200],88.24,66.83,-24.38
164,[00:00:6.5600],75.86,66.83,6.03
165,[00:00:6.6000],70.17,66.83,11.91
166,[00:00:6.6400],70.69,66.83,-27.23
167,[00:00:6.6800],60.51,66.83,-21.80
168,[00:00:6.7200],46.31,66.83,12.80
169,[00:00:6.7600],65.51,66.83,21.40
170,[00:00:6.8000],85.03,66.83,-48.81
171,[00:00:6.8400],81.13,66.83,-16.39
172,[00:00:6.8800],57.76,66.83,-13.33
173,[00:00:6.9200],71.57,66.83,-10.41
174,[00:00:6.9600],42.23,66.83,0.88
175,[00:00:7.0000],56.53,66.83,17.76
176,[00:00:7.0400],51.99,66.83,-0.51
177,[00:00:7.0800],43.17,66.83,-37.02
178,[00:00:7.1200],72.64,66.83,-29.33
179,[00:00:7.1600],103.62,66.83,-19.00
180,[00:00:7.2000],109.43,66.83,5.12
181,[00:00:7.2400],34.72,66.83,8.16
182,[00:00:7.2800],42.19,66.83,18.00
183,[00:00:7.3200],23.56,66.83,14.66
184,[00:00:7.3600],37.71,66.83,-12.62
185,[00:00:7.4000],55.55,66.83,-8.01
186,[00:00:7.4400],78.86,66.83,23.09
187,[00:00:7.4800],32.58,66.83,8.64
188,[00:00:7.5200],110.52,66.83,-6.03
189,[00:00:7.5600],99.11,66.83,-23.68
190,[00:00:7.6000],55.55,66.83,4.87
191,[00:00:7.6400],62.68,66.83,5.84
192,[00:00:7.6800],84.57,66.83,33.04
193,[00:00:7.7200],97.19,66.83,5.28
194,[00:00:7.7600],82.66,66.83,-39.38
195,[00:00:7.8000],81.97,66.83,15.28
196,[00:00:7.8400],72.26,66.83,-15.19
197,[00:00:7.8800],78.73,66.83,30.73
198,[00:00:7.9200],82.56,66.83,1.45
199,[00:00:7.9600],85.01,66.83,5.13
200,[00:00:8.0000],86.91,66.83,-2.58
201,[00:00:8.0400],58.85,66.83,37.11
202,[00:00:8.0800],120.13,66.83,-7.74
203,[00:00:8.1200],121.21,66.83,22.14
204,[00:00:8.1600],74.79,66.83,2.79
205,[00:00:8.2000],77.70,66.83,1.75
206,[00:00:8.2400],29.37,66.83,-6.89
207,[00:00:8.2800],54.78,66.83,30.78
